CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
ItemLabelAnchor.java,1,0,254,0,0,0,26,0,1,0,1,,,,
ItemLabelPosition.java,1,18,79,3,9,7,24,7,7,4,4,0.5,,,
JDBCCategoryDataset.java,5,197,0,24,0,66,0,20,0,7,0,0,,,
JDBCPieDataset.java,4,132,0,13,0,52,0,13,0,6,0,0,,,
JDBCXYDataset.java,3,433,0,52,0,124,0,45,0,18,0,0,,,
JFreeChart.java,2,546,1139,70,100,140,297,81,80,27,47,0.356060606,,,
JFreeChartEntity.java,1,98,25,12,0,30,8,13,3,7,3,0,,,
JFreeChartResources.java,1,61,0,0,0,3,0,3,0,3,0,0,,,
JSONArray.java,2,107,0,16,0,41,0,14,0,6,0,0,,,
JSONAware.java,0,,,,,,,,,,,,,,
JSONObject.java,2,157,0,14,0,49,0,15,0,8,0,0,,,
JSONStreamAware.java,0,,,,,,,,,,,,,,
JSONUtils.java,4,224,0,20,0,70,0,15,0,5,0,0,,,
JSONValue.java,9,323,0,81,0,95,0,49,0,5,0,0,,,
KeyHandler.java,1,96,0,6,0,21,0,9,0,6,0,0,,,
KeyToGroupMap.java,2,64,261,9,33,17,77,9,25,2,11,0.695652174,,,
KeyedObject.java,1,24,64,2,8,6,21,3,9,1,6,0.611111111,,,
KeyedObjects.java,2,97,240,20,24,25,64,18,20,4,12,0.588235294,,,
KeyedObjects2D.java,2,62,554,12,58,17,135,14,43,2,20,0.707070707,,,
KeyedValue.java,0,,,,,,,,,,,,,,
KeyedValueComparator.java,4,31,112,7,21,9,34,9,9,2,2,0.555555556,,,
KeyedValueComparatorType.java,1,0,24,0,0,0,3,0,1,0,1,,,,
KeyedValueDataset.java,0,,,,,,,,,,,,,,
KeyedValues.java,0,,,,,,,,,,,,,,
KeyedValues2D.java,0,,,,,,,,,,,,,,
KeyedValues2DDataset.java,0,,,,,,,,,,,,,,
KeyedValues2DItemKey.java,1,148,0,10,0,38,0,13,0,8,0,0,,,
KeyedValuesDataset.java,0,,,,,,,,,,,,,,
KeyedValuesItemKey.java,1,85,0,6,0,24,0,9,0,6,0,0,,,
LCBLayout.java,3,524,0,40,0,82,0,28,0,8,0,0,,,
LabelBlock.java,1,116,213,11,17,30,63,18,19,11,12,0.47826087,,,
Layer.java,1,0,24,0,0,0,3,0,1,0,1,,,,
LayeredBarRenderer.java,7,445,283,80,22,98,69,53,5,2,5,0.020689655,,,
LegendGraphic.java,1,118,497,30,44,31,148,29,47,9,30,0.495049505,,,
LegendItem.java,1,99,706,8,44,29,198,18,66,10,48,0.703296703,,,
LegendItemBlockContainer.java,1,9,78,1,3,3,25,4,7,3,6,0.214285714,,,
LegendItemCollection.java,1,18,64,1,5,5,19,3,9,2,7,0.642857143,,,
LegendItemEntity.java,1,27,49,3,7,6,16,6,7,3,5,0.625,,,
LegendItemSource.java,0,,,,,,,,,,,,,,
LegendRenderingOrder.java,1,24,0,0,0,3,0,1,0,1,0,,,,
LegendTitle.java,1,116,596,20,42,34,163,29,37,12,23,0.360655738,,,
LengthAdjustmentType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
LengthConstraintType.java,1,0,34,0,0,0,4,0,1,0,1,,,,
LevelRenderer.java,2,171,342,25,23,31,88,25,12,3,10,0.09375,,,
LineAndShapeRenderer.java,2,177,648,43,59,38,184,42,44,4,31,0.35862069,,,
LineBorder.java,2,157,95,13,9,37,29,11,9,4,5,0.254545455,,,
LineFunction2D.java,1,4,59,2,4,2,17,2,7,0,6,0.769230769,,,
LineNeedle.java,1,53,16,6,2,12,5,6,3,2,3,0.333333333,,,
LineUtils.java,7,113,195,18,22,20,39,16,7,2,1,0.367088608,,,
LogAxis.java,2,785,723,81,45,187,177,74,29,18,22,0.257261411,,,
LogFormat.java,1,82,108,7,11,20,31,11,9,6,5,0.481481481,,,
LogTick.java,1,15,0,0,0,4,0,2,0,2,0,0,,,
LogarithmicAxis.java,4,1184,265,229,25,250,66,136,20,14,15,0.128851541,,,
LongNeedle.java,2,189,19,14,2,50,7,10,3,2,3,0.063829787,,,
LookupPaintScale.java,2,11,239,4,30,3,64,4,24,0,11,0.76056338,,,
Marker.java,1,24,495,7,35,8,136,9,49,2,35,0.903225806,,,
MarkerAxisBand.java,2,199,103,9,13,46,28,10,8,4,3,0.274509804,,,
MarkerChangeEvent.java,1,0,10,0,0,0,4,0,2,0,2,1,,,
MarkerChangeListener.java,0,,,,,,,,,,,,,,
MatrixSeries.java,1,10,147,2,16,3,34,3,17,1,10,0.75,,,
MatrixSeriesCollection.java,1,152,56,10,4,36,19,18,5,11,5,0.2,,,
MeanAndStandardDeviation.java,1,39,77,3,9,6,25,5,10,2,7,0.666666667,,,
MeterInterval.java,1,12,123,6,8,6,36,6,11,0,10,0.592592593,,,
MeterNeedle.java,1,144,187,10,20,39,63,21,20,13,13,0.490909091,,,
MeterPlot.java,2,179,1347,49,93,43,347,62,65,18,38,0.213114754,,,
MiddlePinNeedle.java,2,133,20,10,4,25,6,9,3,2,3,0.138888889,,,
Millisecond.java,1,109,292,23,11,32,64,17,18,2,16,0.524590164,,,
MinMaxCategoryRenderer.java,1,241,328,22,14,56,70,24,13,9,10,0.170212766,,,
